Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Branford,41.256,72.839,Ds,-15.8,2301-1995,-2.25,0.45,van de Plassche et al. (2002),2,2124,37
Branford,41.251,72.856,Ds,-15.1,1536-1360,-1.57,0.45,van de Plassche et al. (2002),2,1560,40
Branford,41.251,72.856,Ds,-15.5,1171-961,-1.20,0.45,van de Plassche et al. (2002),2,1133,37
Guildford,41.269,72.681,Sa,-14.5,1240-964,-1.44,0.66,Nydick et al. (1995),2,1170,50
Guildford,41.269,72.681,Sp,-10,511-307,-1.11,0.63,Nydick et al. (1995),2,370,60
Guildford,41.278,72.650,Sp,-10,282-0,-0.77,0.63,Nydick et al. (1995),2,90,70
Guildford,41.278,72.650,Sp,-10,296-0,-0.80,0.63,Nydick et al. (1995),2,160,60
Guildford,41.277,72.641,Sp,-9.7,1166-738,-1.40,0.63,Nydick et al. (1995),2,1020,80
Guildford,41.277,72.641,Sp,-10,1867-1547,-2.03,0.63,Nydick et al. (1995),2,1780,70
Guildford,41.269,72.681,Sa,-12,282-0,-0.35,0.52,Nydick et al. (1995),2,100,70
Guildford,41.269,72.681,Sa,-13.8,664-522,-0.73,0.52,Nydick et al. (1995),2,590,60
Guildford,41.278,72.650,Sa,-13.8,268-0,-0.22,0.52,Nydick et al. (1995),2,10,60
Guildford,41.278,72.650,Sa,-10,615-315,-0.43,0.52,Nydick et al. (1995),2,440,60
Guildford,41.278,72.650,Sa,-13.8,680-508,-0.62,0.52,Nydick et al. (1995),2,600,80
Guildford,41.277,72.641,Sa,-13.2,428-0,-0.35,0.52,Nydick et al. (1995),2,210,60
Guildford,41.277,72.641,Sa,-10.8,722-532,-0.63,0.52,Nydick et al. (1995),2,660,70
Guildford,41.277,72.641,Sa,-13.8,1821-1419,-1.48,0.52,Nydick et al. (1995),2,1720,70
Hammock River,41.265,72.508,Ds,-14,498-306,-1.04,0.45,van de Plassche et al. (1998),2,340,50
Hammock River,41.265,72.508,Ds,-14,1063-937,-1.48,0.45,van de Plassche et al. (1998),2,1100,30
Hammock River,41.265,72.508,Ds,-13,616-502,-1.23,0.45,van de Plassche et al. (1998),2,500,30
Hammock River,41.265,72.508,Ds,-15,1166-956,-1.39,0.45,van de Plassche et al. (1998),2,1120,30
Hammock River,41.265,72.508,Ds,-26,505-319,-1.03,0.45,van de Plassche et al. (1998),2,380,30
Hammock River,41.265,72.508,Ds,-13,296-0,-0.51,0.45,van de Plassche et al. (1998),2,170,40
Hammock River,41.265,72.508,Sa,-14,510-320,-0.53,0.26,van de Plassche et al. (1998),2,390,30
Hammock River,41.265,72.508,Sa,-13,647-497,-0.67,0.26,van de Plassche et al. (1998),2,520,50
Hammock River,41.265,72.508,Sa,-13,1410-1296,-1.26,0.26,van de Plassche et al. (1998),2,1460,40
Hammock River,41.265,72.508,Sa,-22,1371-1179,-1.09,0.26,van de Plassche et al. (1998),2,1370,50
Hammock River,41.265,72.508,Sa,-14,534-342,-0.56,0.26,van de Plassche et al. (1998),2,440,30
Hammock River,41.265,72.508,Sa,-4,488-308,-0.27,0.26,van de Plassche et al. (1998),2,340,40
Hammock River,41.265,72.508,Sa,-14,648-502,-0.41,0.26,van de Plassche et al. (1998),2,530,50
Hammock River,41.265,72.508,Sa,-15,280-0,0.17,0.26,van de Plassche et al. (1998),2,130,40
Hammock River,41.265,72.508,Sa,-14,304-0,-0.07,0.26,van de Plassche et al. (1998),2,180,40
Hammock River,41.266,72.515,Sp,,1823-1617,-2.15,0.53,van de Plassche (1991),2,1800,35
Hammock River,41.266,72.515,Sa,,1895-1733,-1.57,0.76,van de Plassche (1991),2,1890,30
Gulf Pond,41.200,73.000,Salt peat,,1863-1019,-1.87,0.97,Cinquemani et al. (1982),3,1515,185
Indian River,41.200,73.000,Salt peat,,4236-3702,-5.27,0.97,Cinquemani et al. (1982),3,3645,95
Indian River,41.200,73.000,Salt peat,,4089-3473,-4.17,0.97,Cinquemani et al. (1982),3,3500,120
Indian River,41.200,73.000,Salt peat,,3372-2876,-3.20,0.97,Cinquemani et al. (1982),3,2970,100
Guildford,41.277,72.641,Plant frags,-14.3,1288-978,-1.79,0.78,Nydick et al. (1995),1,1220,80
Oyster Creek,41.260,72.350,Salt peat,,5909-4983,-6.87,0.84,Cinquemani et al. (1982),3,4780,175
Oyster Creek,41.260,72.350,Salt peat,,4856-3638,-6.37,0.84,Cinquemani et al. (1982),3,3850,235
Oyster Creek,41.260,72.350,Salt peat,,5580-4648,-6.57,0.84,Cinquemani et al. (1982),3,4460,155
,,,,,,,,,,,
Terrestrial,,,,,,,,,,,
Mystic,41.370,71.950,Undiff peat,,3608-2348,-3.60,0.40,Redfield and Rubin (1962),3,2850,260
Kittam's Point,41.250,72.810,Wood,,1066-574,0.36,0.48,Bloom (1963),2,910,120
New Haven,41.300,72.750,Undiff peat,,7242-6304,-9.08,0.51,Redfield and Rubin (1962),3,5900,200
Stiles Brickyard,41.340,72.880,Wood,,7982-7338,-4.37,0.56,Bloom (1963),2,6810,170
Guildford,41.269,72.681,Wood,,899-533,-0.08,0.48,Nydick et al. (1995),2,720,90
Guildford,41.270,72.660,Wood,,1276-956,0.03,0.48,Bloom (1963),2,1180,80
Hammock River,41.265,72.508,Sedge peat,,4569-4161,-3.80,0.22,van de Plassche et al. (1989),3,3950,60
Hammock River,41.265,72.508,Sedge peat,,5031-4713,-4.93,0.22,van de Plassche et al. (1989),3,4295,45
Hammock River,41.265,72.508,Sedge peat,,5581-5319,-5.97,0.22,van de Plassche et al. (1989),3,4700,40
Hammock River,41.265,72.508,Sedge peat,,6267-5933,-7.28,0.23,van de Plassche et al. (1989),3,5300,60
Hammock River,41.265,72.508,Sedge peat,,6881-6503,-7.35,0.23,van de Plassche et al. (1989),3,5880,70
Hammock River,41.265,72.508,Sedge peat,,6436-6206,-8.48,0.23,van de Plassche et al. (1989),3,5520,60
Hammock River,41.265,72.508,sedge peat,,5888-5062,-7.11,0.48,Bloom (1963),3,4780,130
Hammock River,41.265,72.508,sedge peat,,4220-3478,-4.50,0.49,Bloom (1963),3,3540,130
Hammock River,41.265,72.508,sedge peat,,4149-3363,-3.60,0.49,Bloom (1963),3,3450,160
Hammock River,41.265,72.508,sedge peat,,7248-6794,-9.69,0.50,Bloom (1963),3,6130,90
Hammock River,41.265,72.508,sedge peat,,3437-2955,-1.56,0.51,Bloom (1963),3,3020,90
Hammock River,41.265,72.508,sedge peat,,3685-3245,-2.27,0.50,Bloom (1963),3,3220,90
Hammock River,41.265,72.508,Wood,,5899-5325,-4.77,0.50,Bloom (1963),2,4880,120
Hammock River,41.160,72.310,Undiff peat,,8151-7673,-8.94,0.50,Bloom (1963),3,7060,100
Hammock River,41.265,72.508,Sr,-26,306-0,0.43,0.17,van de Plassche et al. (1998),2,210,30
Hammock River,41.265,72.508,Sr,-25,505-315,0.01,0.17,van de Plassche et al. (1998),2,370,40
Hammock River,41.265,72.508,Sr,-22,1052-798,-0.26,0.17,van de Plassche et al. (1998),2,1020,40
Hammock River,41.265,72.508,Sr,-25,1276-1076,-0.57,0.17,van de Plassche et al. (1998),2,1250,40
Hammock River,41.265,72.508,Sr,-9,1381-1279,-0.42,0.16,van de Plassche et al. (1998),2,1410,40
Hammock River,41.265,72.508,Sr,-28,1240-964,-0.26,0.17,van de Plassche et al. (1998),2,1170,50
Hammock River,41.265,72.508,Sr,-27,1063-937,-0.48,0.17,van de Plassche et al. (1998),2,1100,30
Hammock River,41.265,72.508,Sr,-27,428-0,0.36,0.17,van de Plassche et al. (1998),2,230,40
Hammock River,41.265,72.508,Sr,-26,462-0,0.30,0.17,van de Plassche et al. (1998),2,240,50
Hammock River,41.265,72.508,Sr,-27,426-0,0.22,0.17,van de Plassche et al. (1998),2,220,40
Hammock River,41.265,72.508,Sr,-27,540-318,0.14,0.17,van de Plassche et al. (1998),2,430,50
Hammock River,41.265,72.508,Sr,-13,535-317,0.09,0.17,van de Plassche et al. (1998),2,420,50
Hammock River,41.265,72.508,Sr,-26,541-331,-0.00,0.17,van de Plassche et al. (1998),2,440,40
Hammock River,41.265,72.508,Sr,-27,627-507,-0.08,0.17,van de Plassche et al. (1998),2,520,30
Hammock River,41.265,72.508,Sr,-26,627-507,-0.14,0.17,van de Plassche et al. (1998),2,520,30
Hammock River,41.265,72.508,Sr,-26,500-308,0.20,0.17,van de Plassche et al. (1998),2,350,50
Hammock River,41.265,72.508,Sr,-26,634-334,-0.14,0.17,van de Plassche et al. (1998),2,480,50
Menunketesuck River,41.280,72.480,Sedge peat,,6184-5940,-8.22,0.24,van de Plassche et al. (1989),3,5280,40
Hammock River,41.266,72.515,Sr,,270-0,0.58,0.32,van de Plassche (1991),2,85,45
Hammock River,41.266,72.515,Pa,,735-569,0.15,0.32,van de Plassche (1991),2,740,40
Hammock River,41.266,72.515,Pa,,1715-1291,-0.40,0.30,van de Plassche (1991),2,1580,110
Hammock River,41.266,72.515,Pa,,924-698,0.20,0.30,van de Plassche (1991),2,890,60
,,,,,,,,,,,
New York,,,,,,,,,,,
Index Points,,,,,,,,,,,
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,928-560,-0.76,0.81,Pardi et al. (1984),3,800,100
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,4282-3640,-5.21,0.82,Pardi et al. (1984),3,3630,110
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,1873-1415,-1.76,0.81,Pardi et al. (1984),3,1740,100
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,2285-1607,-2.56,0.81,Pardi et al. (1984),3,1940,110
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,2995-2367,-2.56,0.81,Pardi et al. (1984),3,2650,100
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,3447-2951,-3.31,0.82,Pardi et al. (1984),3,3030,100
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,2688-1898,-3.34,0.82,Pardi et al. (1984),3,2220,120
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,3557-2979,-3.46,0.81,Pardi et al. (1984),3,3090,110
Cedar Pond Brook Marsh,41.225,73.967,Salt peat,,3160-2462,-3.61,0.82,Pardi et al. (1984),3,2700,120
Constitution Island,41.411,73.948,Salt peat,,5265-4423,-7.51,0.81,Pardi et al. (1984),3,423+,120
Constitution Island,41.406,73.942,Salt peat,,5654-4892,-9.46,0.83,Pardi et al. (1984),3,4660,140
Constitution Island,41.406,73.948,Salt peat,,2469-1823,-1.80,0.82,Pardi et al. (1984),3,2160,130
Constitution Island,41.406,73.942,Salt peat,,2753-2315,-3.06,0.83,Pardi et al. (1984),3,2440,100
Constitution Island,41.411,73.948,Salt peat,,2713-2117,-3.71,0.80,Pardi et al. (1984),3,2320,100
Constitution Island,41.406,73.942,Salt peat,,3700-3084,-4.86,0.84,Pardi et al. (1984),3,3210,110
Constitution Island,41.411,73.948,Salt peat,,4861-4317,-5.96,0.80,Pardi et al. (1984),3,4110,100
Constitution Island,41.406,73.942,Salt peat,,4512-3782,-6.26,0.84,Pardi et al. (1984),3,3760,120
Marlboro Marsh,41.611,73.966,Salt peat,,2942-1742,-3.11,0.80,Pardi et al. (1984),3,2330,240
Marlboro Marsh,41.611,73.966,Salt peat,,3448-2872,-4.11,0.80,Pardi et al. (1984),3,3010,120
Marlboro Marsh,41.611,73.966,Salt peat,,5583-4437,-5.81,0.80,Pardi et al. (1984),3,4390,220
Marlboro Marsh,41.611,73.966,Salt peat,,5283-4441,-7.21,0.81,Pardi et al. (1984),3,4260,130
Marlboro Marsh,41.611,73.966,Salt peat,,5580-4482,-8.31,0.83,Pardi et al. (1984),3,4570,110
Oscawana I Tidal Marsh,41.229,73.931,Salt peat,,1997-1569,-2.51,0.80,Pardi et al. (1984),3,1870,90
Oscawana I Tidal Marsh,41.229,73.931,Salt peat,,5580-4878,-6.61,0.80,Pardi et al. (1984),3,4570,120
Oscawana I Tidal Marsh,41.229,73.931,Salt peat,,5448-4860,-6.81,0.80,Pardi et al. (1984),3,4500,100
Roa Hook,41.299,73.947,Salt peat,,5586-4540,-7.64,0.83,Pardi et al. (1984),3,4450,200
Roa Hook,41.299,73.947,Salt peat,,5580-3718,-8.81,0.81,Pardi et al. (1984),3,4120,350
Roa Hook,41.299,73.947,Salt peat,,5580-4866,-9.31,0.80,Pardi et al. (1984),3,4550,130
Roa Hook,41.299,73.947,Salt peat,,2844-2314,-1.95,0.80,Pardi et al. (1984),3,2490,120
Roa Hook,41.299,73.947,Salt peat,,3799-2949,-4.02,0.80,Pardi et al. (1984),3,3170,170
Roa Hook,41.292,73.947,Salt peat,,3828-2978,-4.31,0.81,Pardi et al. (1984),3,3190,160
Roa Hook,41.299,73.947,Salt peat,,3816-2878,-4.81,0.80,Pardi et al. (1984),3,3140,170
Roa Hook,41.299,73.947,Salt peat,,3840-3342,-5.56,0.81,Pardi et al. (1984),3,3320,110
Roa Hook,41.299,73.947,Salt peat,,4812-3978,-6.76,0.81,Pardi et al. (1984),3,3910,130
Stoney Point,41.244,73.968,Salt peat,,3564-2996,-3.21,0.80,Pardi et al. (1984),3,3100,110
Stoney Point,41.244,73.968,Salt peat,,4798-3576,-5.81,0.80,Pardi et al. (1984),3,3740,200
Piermont Tidal Marsh,41.025,73.900,Salt peat,,4797-3565,-5.66,0.81,Pardi et al. (1984),3,3730,200
Piermont Tidal Marsh,41.025,73.900,Salt peat,,4421-3925,-7.71,0.82,Pardi et al. (1984),3,3790,90
Piermont Tidal Marsh,41.025,73.900,Salt peat,,5586-4974,-8.35,0.81,Pardi et al. (1984),3,4610,110
Piermont Tidal Marsh,41.025,73.900,Salt peat,,5589-4101,-9.37,0.83,Pardi et al. (1984),3,4300,280
Piermont Tidal Marsh,41.025,73.900,Salt peat,,5710-5048,-9.71,0.83,Pardi et al. (1984),3,4720,120
Piermont Tidal Marsh,41.025,73.900,Salt peat,,6441-5667,-11.16,0.82,Pardi et al. (1984),3,5320,170
Piermont Tidal Marsh,41.025,73.900,Salt peat,,6555-5933,-11.16,0.84,Pardi et al. (1984),3,5480,140
Piermont Tidal Marsh,41.025,73.900,Salt peat,,1563-1063,-1.46,0.81,Pardi et al. (1984),3,1420,120
Piermont Tidal Marsh,41.025,73.900,Salt peat,,2306-1706,-3.06,0.81,Pardi et al. (1984),3,2000,110
Piermont Tidal Marsh,41.025,73.900,Salt peat,,2742-1950,-2.81,0.80,Pardi et al. (1984),3,2300,160
Piermont Tidal Marsh,41.025,73.900,Salt peat,,2958-2320,-4.56,0.81,Pardi et al. (1984),3,2550,140
Piermont Tidal Marsh,41.025,73.900,Salt peat,,3388-2882,-4.56,0.81,Pardi et al. (1984),3,2990,100
Piermont Tidal Marsh,41.025,73.900,Salt peat,,3455-2959,-5.26,0.81,Pardi et al. (1984),3,3050,100
Piermont Tidal Marsh,41.025,73.900,Salt peat,,3921-3221,-6.74,0.82,Pardi et al. (1984),3,3320,140
Piermont Tidal Marsh,41.025,73.900,Salt peat,,3975-3475,-4.86,0.81,Pardi et al. (1984),3,3460,100
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Piermont,41.136,73.894,C. vir,,3412-3048,-11.40,0.12,Slagle et al. (2006),4,3510,35
Piermont,41.093,73.886,C. vir,,2335-2003,-11.97,0.11,Slagle et al. (2006),4,2655,35
Piermont,41.056,73.896,C. vir,,2728-2354,-6.57,0.12,Slagle et al. (2006),4,2955,45
Piermont,41.056,73.896,C. vir,,3262-2864,-8.54,0.12,Slagle et al. (2006),4,3375,35
Piermont,41.048,-73.896,C. vir,,3402-3022,-8.18,0.12,Slagle et al. (2006),4,3500,40
Westway,40.726,74.011,Marine shell,,6189-5435,-23.25,0.59,Pardi et al. (1984),3,5540,160
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Constitution Island,41.406,73.948,basal peat,,7477-6287,-6.85,0.56,Pardi et al. (1984),3,6030,290
Cedar Pond Brook Marsh,41.225,73.967,Wood,,3348-2768,-2.02,0.54,Pardi et al. (1984),2,2890,130
Constitution Island,41.406,73.942,Fresh peat,,3559-1283,0.03,0.54,Pardi et al. (1984),1,2320,500
Constitution Island,41.406,73.942,Peat,,1558-1146,-1.02,0.54,Pardi et al. (1984),3,1440,100
Piermont Tidal Marsh,41.025,73.900,Wood,,4145-3489,-3.93,0.53,Pardi et al. (1984),1,3530,110
Roa Hook,41.299,73.947,Wood,,5593-5049,-5.74,0.54,Pardi et al. (1984),2,4660,100
Roa Hook,41.299,73.947,Wood,,6544-5928,-7.47,0.54,Pardi et al. (1984),2,5470,140
Roa Hook,41.299,73.947,wood,,7419-6807,-9.67,0.54,Pardi et al. (1984),2,6230,120
Roa Hook,41.299,73.947,Wood,,2719-2153,-1.22,0.54,Pardi et al. (1984),2,2360,100
Westway,40.726,74.012,Peat,,11087-9681,-21.87,0.64,Pardi et al. (1984),3,9170,230
Westway,40.725,74.011,Peat,,9477-8729,-18.18,0.63,Pardi et al. (1984),3,8190,130
Westway,40.723,74.016,Peat,,10222-9486,-20.29,0.67,Pardi et al. (1984),3,8750,170
Barclay,40.717,74.000,Wood,,7581-7183,-13.22,0.25,Olson and Broecker (1961),2,6500,100
Westway,40.761,74.013,Organic silt,,11201-10525,-35.50,0.71,Pardi et al. (1984),3,9540,120
Westway,40.741,74.011,Organic silt,,9395-8371,-23.36,0.65,Pardi et al. (1984),3,7920,200
Westway,40.724,74.016,Organic silt,,11052-9432,-20.27,0.64,Pardi et al. (1984),3,8960,270
Westway,40.726,74.016,Organic silt,,8991-8051,-20.44,0.62,Pardi et al. (1984),3,7650,190
Westway,40.725,74.016,Organic silt,,10231-9309,-23.36,0.65,Pardi et al. (1984),3,8690,190
Piermont Tidal Marsh,41.025,73.900,Peat,,8162-7294,-10.47,0.59,Pardi et al. (1984),3,6840,230
,,,,,,,,,,,
Long Island,,,,,,,,,,,
Index Points,,,,,,,,,,,
Caumsett Marsh,40.942,73.481,Salt peat,,926-548,-0.84,0.92,Pardi et al. (1984),3,780,120
Caumsett Marsh,40.942,73.481,Salt peat,,904-482,-2.04,0.92,Pardi et al. (1984),3,660,120
Caumsett Marsh,40.942,73.481,Salt peat,,953-515,-2.05,0.92,Pardi et al. (1984),3,760,140
College Point Marsh,40.796,73.831,Salt peat,,6848-6008,-12.76,0.82,Pardi et al. (1984),3,5650,170
College Point Marsh,40.796,73.831,Salt peat,,7469-7017,-18.11,0.82,Pardi et al. (1984),3,6370,100
College Point Marsh,40.796,73.831,Salt peat,,9302-8644,-19.81,0.84,Pardi et al. (1984),3,8100,100
College Point Marsh,40.796,73.831,Salt peat,,8393-7517,-17.76,0.83,Pardi et al. (1984),3,7120,240
Eatons Neck,40.949,73.395,Salt peat,,1720-1292,-1.34,0.91,Cinquemani et al. (1982),3,1585,110
Eatons Neck,40.949,73.395,Salt peat,,642-0,-0.64,0.92,Cinquemani et al. (1982),3,370,120
Eatons Neck,40.949,73.395,Salt peat,,2752-2360,-4.84,0.92,Cinquemani et al. (1982),3,252+,85
LI- south shore,41.023,72.603,Salt peat,,8637-8057,-16.98,0.79,Field et al. (1979),1,7585,125
NY- Riverhead,40.900,72.617,Salt peat,,1175-565,-1.19,0.54,Redfield (1967),3,930,150
Shelter Island,41.046,72.314,Salt peat,,1057-545,-1.23,0.55,Pardi et al. (1984),3,850,150
Mt. Sinai Harbor,40.949,73.031,Salt peat,,2357-1903,-4.57,1.01,Cinquemani et al. (1982),3,2180,100
Pelham Bay Park,40.868,73.793,Salt peat,,1927-1527,-1.99,0.92,Pardi et al. (1984),3,1800,90
Roosevelt Ave,40.800,73.800,Salt peat,,9766-7982,-15.51,0.82,Pardi et al. (1984),3,7980,390
Cedar Beach Suffolk Co,40.617,73.383,Salt peat,,6177-5585,-10.59,0.74,Pardi and Newman (1980),3,5060,120
Wantagh- Nassau Co,40.650,73.517,Salt peat,,1172-732,-1.61,0.74,Pardi and Newman (1980),3,1020,100
Wantagh- Nassau Co,40.650,73.517,Salt peat,,518-0,-0.76,0.74,Pardi and Newman (1980),3,300,90
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Gardiners Bay,41.192,72.192,Undiff peat,,7670-7260,-11.87,0.80,Field et al. (1979),3,6575,125
Pelham Bay,40.870,73.790,Stump,,3452-2364,-1.88,0.16,Redfield and Rubin (1962),2,2830,220
Riverhead,40.900,72.617,Fresh peat,,9398-8596,-2.77,0.42,Redfield (1967),3,8070,130
Shelter Island,41.046,72.314,Peat,,4288-3560,-5.96,0.42,Pardi et al. (1984),3,3590,130
South Long Island,40.748,72.447,Fresh peat,,6627-6131,-10.39,0.80,Field et al. (1979),3,5585,110
NY/NJ Border,40.460,74.180,Organic sediment,,3207-2363,-0.88,0.16,Pardi et al. (1984),3,2700,150
,,,,,,,,,,,
New Jersey,,,,,,,,,,,
Index Points,,,,,,,,,,,
Brigantine City- NJ,39.426,74.390,Salt peat,,6951-6453,-12.95,0.77,Stuiver and Daddario (1963),3,5890,100
Brigantine NWR,39.483,74.424,Salt peat,,3387-2929,-4.65,0.77,Stuiver and Daddario (1963),3,3000,90
Brigantine NWR,39.479,74.419,Salt peat,,4517-3929,-7.35,0.77,Stuiver and Daddario (1963),3,3830,100
Brigantine NWR,39.454,74.405,Salt peat,,5643-5315,-10.25,0.78,Stuiver and Daddario (1963),3,4760,80
Brigantine NWR,39.485,74.426,Salt peat,,1922-1720,-2.55,0.77,Stuiver and Daddario (1963),3,1890,40
Great Bay,39.561,74.349,Salt peat,,3475-2879,-4.05,0.77,Psuty et al. (1986),3,3035,120
Great Bay,39.522,74.324,Salt peat,,5565-4843,-8.35,0.78,Psuty et al. (1986),3,4495,125
Great Bay,39.522,74.324,Salt peat,,5264-4256,-8.35,0.78,Psuty et al. (1986),3,4175,145
Sea Island City,39.200,74.700,Salt peat,,1177-559,-1.31,0.80,Cinquemani et al. (1982),3,920,160
Sea Island City,39.200,74.700,Salt peat,,2715-2149,-2.81,0.80,Cinquemani et al. (1982),3,2345,100
Sea Island City,39.200,74.700,Salt peat,,3204-2720,-4.76,0.80,Cinquemani et al. (1982),3,2760,100
Sea Island City,39.200,74.700,Salt peat,,3981-3445,-5.51,0.81,Cinquemani et al. (1982),3,3440,110
Sea Island City,39.200,74.700,Salt peat,,4816-4092,-7.36,0.81,Cinquemani et al. (1982),3,3960,110
Sea lsland City,39.180,74.730,Salt peat,,2695-1993,-3.51,0.80,Pardi et al. (1984),3,2260,100
Brigantine Marsh,39.420,74.354,Salt peat,-13.2,462-0,-1.70,0.68,Donnelly et al. (2004b),2,240,50
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-10.1,1263-1147,-2.43,0.28,This publication,1,1249,13
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-1.7,1407-1349,-2.70,0.28,This publication,1,1502,14
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-28.7,1228-1004,-2.23,0.28,This publication,1,1188,30
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-14.6,1379-1517,-2.93,0.28,This publication,1,1541,14
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-12,452-308,-1.52,0.28,This publication,1,319,13
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-14.4,1521-1383,-3.03,0.28,This publication,1,1550,25
Edwin B Forsythe NWR,39.495,74.418,Salt peat,-13.78,926-794,-2.09,0.28,This publication,1,950,30
Little Egg Inlet- NJ,39.412,74.123,Salt peat,,9239-7799,-30.15,1.53,Field et al. (1979),1,7600,300
Great Bay,39.549,74.342,Salt peat,,3448-2972,-6.95,0.78,Psuty et al. (1986),3,3050,95
Great Bay,39.510,74.320,Salt peat,,1257-1009,-1.45,0.31,Miller et al. (2009),1,1200,35
Great Bay,39.510,74.320,Salt peat,,3156-2926,-5.11,0.31,Miller et al. (2009),1,2890,30
Core 127,39.417,74.256,Salt peat,,8581-8401,-17.37,0.60,Miller et al. (2009),3,7690,50
Core 127,39.417,74.256,Salt peat,,8171-7749,-17.62,0.60,Miller et al. (2009),3,7130,100
Brigantine Marsh,39.420,74.354,Salt peat,-12.4,426-0,-0.85,0.68,Donnelly et al. (2004b),3,210,50
Brigantine Marsh,39.420,74.354,Salt peat,-15.1,488-308,-0.96,0.68,Donnelly et al. (2004b),3,340,40
Brigantine Marsh,39.420,74.354,Salt peat,-19.6,1386-1284,-2.60,0.68,Donnelly et al. (2004b),3,1420,40
Brigantine Marsh,39.420,74.354,Salt peat,-15.4,617-319,-0.82,0.68,Donnelly et al. (2004b),3,450,50
Whale Beach,39.184,74.671,Sa,,428-0,-0.94,0.79,Donnelly et al. (2001),2,230,40
Whale Beach,39.184,74.671,Sa,,266-0,-0.57,0.79,Donnelly et al. (2001),2,60,40
Whale Beach,39.184,74.671,Sa,,420-0,-0.55,0.79,Donnelly et al. (2001),2,210,40
Whale Beach,39.184,74.671,Sa,,426-0,-0.66,0.79,Donnelly et al. (2001),2,220,40
Whale Beach,39.184,74.671,Sa,,274-0,-0.66,0.79,Donnelly et al. (2001),2,110,40
Whale Beach,39.184,74.671,Sa,,490-0,-0.89,0.79,Donnelly et al. (2001),2,290,50
Whale Beach,39.184,74.671,Sa,,475-289,-0.79,0.79,Donnelly et al. (2001),2,300,40
Cheesequake Marsh,40.400,74.300,Salt peat,,5741-5319,-10.95,0.86,Cinquemani et al. (1982),3,4820,95
Whale Beach,39.184,74.671,Sa,,653-513,-1.27,0.79,Donnelly et al. (2001),2,560,50
Cheesequake Marsh,40.400,74.300,Salt peat,,2457-1625,-3.32,0.85,Cinquemani et al. (1982),3,2080,160
Cheesequake Marsh,40.400,74.300,Salt peat,,1510-738,-2.62,0.85,Cinquemani et al. (1982),3,1210,185
Cheesequake Marsh,40.400,74.300,Salt peat,,2306-1572,-2.85,0.85,Cinquemani et al. (1982),3,1960,130
Island Beach,39.803,74.094,Salt peat,,6883-5947,-10.38,0.67,Miller et al. (2009),3,5625,200
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Rainbow Island,39.305,74.585,Elphidium spp.,,2235-1921,-4.54,0.18,Miller et al. (2009),4,2580,30
Rainbow Island,39.305,74.585,Elphidium spp.,,2646-2314,-5.15,0.18,Miller et al. (2009),4,2880,30
Rainbow Island,39.305,74.585,Elphidium spp.,,3658-3376,-6.98,0.19,Miller et al. (2009),4,3770,40
Rainbow Island,39.304,74.588,Elphidium spp.,,1957-1561,-3.60,0.18,Miller et al. (2009),4,2330,70
Rainbow Island,39.304,74.588,Elphidium spp.,,2720-2340,-5.18,0.19,Miller et al. (2009),4,2960,70
Cheesequake Marsh,40.439,74.273,Marine shell,,5446-3122,-10.29,0.59,Psuty et al. (1986),3,4330,460
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Great Bay,39.549,74.342,Undiff peat,,7933-6477,-7.89,0.55,Psuty et al. (1986),3,6380,355
Great Bay,39.510,74.320,Undiff peat,,8287-8027,-7.14,0.19,Miller et al. (2009),3,7340,35
Island Beach,39.803,74.094,Undiff peat,,5442-4976,0.40,0.18,Miller et al. (2009),3,4532,58
Core 3,39.664,74.099,Undiff peat,,10242-9502,-3.80,1.09,Miller et al. (2009),3,8800,170
Cheesequake Marsh,40.400,74.300,Undiff peat,,8508-7756,-11.24,0.59,Cinquemani et al. (1982),3,7320,185
Cheesequake Marsh,40.439,74.273,Cedar peat,,7930-7020,-10.99,0.59,Psuty et al. (1986),2,6610,215
Cheesequake Marsh,40.439,74.273,Undiff peat,,9087-8163,-11.79,0.59,Psuty et al. (1986),3,7735,195
Cheesequake Marsh,40.435,74.281,Cedar peat,,7413-6403,-7.59,0.59,Psuty et al. (1986),2,6020,215
Union Beach,40.446,74.161,Undiff peat,,897-497,-0.59,0.58,Psuty et al. (1986),3,660,110
